enzyme_id,compound_id
EC1.1.1.312,C04186
EC1.1.1.313,C00593
EC1.1.1.313,C05123
EC1.1.1.325,C03684
EC1.1.1.325,C20264
EC1.1.1.327,C22610
EC1.1.1.327,C21929
EC1.1.1.327,C03448
EC1.1.1.327,C03037
EC1.1.1.329,C17580
EC1.1.1.329,C17581
EC1.1.1.335,C04573
EC1.1.1.335,C20395
EC1.1.1.336,C01170
EC1.1.1.336,C06240
EC1.1.1.337,C11537
EC1.1.1.337,C05528
EC1.1.1.338,C11537
EC1.1.1.338,C05528
EC1.1.1.339,C00688
EC1.1.1.339,C03187
EC1.1.1.34,C00356
EC1.1.1.34,C00418
EC1.1.1.340,C20403
EC1.1.1.340,C20400
EC1.1.1.341,C04297
EC1.1.1.341,C01788
EC1.1.1.342,C04297
EC1.1.1.342,C03598
EC1.1.1.343,C00345
EC1.1.1.343,C00199
EC1.1.1.347,C01500
EC1.1.1.347,C01499
EC1.1.1.350,C00603
EC1.1.1.350,C00802
EC1.1.1.356,C20612
EC1.1.1.356,C20613
EC1.1.1.357,C00523
EC1.1.1.357,C00674
EC1.1.1.357,C03852
EC1.1.1.357,C03917
EC1.1.1.357,C22831
EC1.1.1.357,C22832
EC1.1.1.36,C00332
EC1.1.1.36,C03561
EC1.1.1.361,C00092
EC1.1.1.361,C20668
EC1.1.1.362,C12417
EC1.1.1.362,C12419
EC1.1.1.362,C12423
EC1.1.1.362,C12424
EC1.1.1.363,C01172
EC1.1.1.363,C01236
EC1.1.1.363,C00006
EC1.1.1.363,C00005
EC1.1.1.364,C11926
EC1.1.1.364,C11912
EC1.1.1.367,C20769
EC1.1.1.367,C20768
EC1.1.1.367,C19823
EC1.1.1.368,C06749
EC1.1.1.368,C09821
EC1.1.1.369,C19891
EC1.1.1.369,C20251
EC1.1.1.37,C11537
EC1.1.1.37,C05528
EC1.1.1.37,C00149
EC1.1.1.370,C06153
EC1.1.1.370,C00691
EC1.1.1.371,C00691
EC1.1.1.371,C06153
EC1.1.1.376,C00259
EC1.1.1.376,C01114
EC1.1.1.377,C00507
EC1.1.1.377,C02991
EC1.1.1.378,C00507
EC1.1.1.378,C02991
EC1.1.1.38,C00149
EC1.1.1.380,C00800
EC1.1.1.380,C00905
EC1.1.1.381,C05519
EC1.1.1.381,C03508
EC1.1.1.381,C01888
EC1.1.1.384,C06620
EC1.1.1.384,C11922
EC1.1.1.388,C01172
EC1.1.1.388,C01236
EC1.1.1.396,C18153
EC1.1.1.396,C18155
EC1.1.1.4,C00810
EC1.1.1.4,C03044
EC1.1.1.40,C00149
EC1.1.1.401,C03979
EC1.1.1.401,C20781
EC1.1.1.404,C18933
EC1.1.1.404,C03434
EC1.1.1.405,C01068
EC1.1.1.405,C00199
EC1.1.1.41,C00311
EC1.1.1.414,C15930
EC1.1.1.414,C00558
EC1.1.1.42,C00006
EC1.1.1.42,C00005
EC1.1.1.42,C00311
EC1.1.1.42,C05379
EC1.1.1.426,C04613
EC1.1.1.426,C22262
EC1.1.1.429,C09819
EC1.1.1.429,C09820
